,Source airport ID,OutFlight,InFlight,TotalFlight,Airlines,Airport ID,Name,City,Country,IATA/FAA,Latitude,Longitude,Altitude
1052,1815.0,14.0,15.0,29.0,"['AA', 'DL', 'AM', 'VB', 'US', 'NZ', 'UA', 'Y4']",1815,Guanajuato Intl,Del Bajio,Mexico,BJX,20.993464000000003,-101.480847,5956
1053,4037.0,12.0,12.0,24.0,"['AA', 'DL', 'G4', 'AF', 'F9', 'US', 'KL']",4037,Central Illinois Rgnl,Bloomington,United States,BMI,40.477111,-88.91591700000001,871
1054,3690.0,82.0,82.0,164.0,"['AA', 'AC', 'UA', 'AF', 'F9', 'AM', 'DL', 'US', 'KL', 'AS', 'VS', 'K5', 'WN', 'AZ', 'FL']",3690,Nashville Intl,Nashville,United States,BNA,36.124472,-86.67819399999999,599
1055,3320.0,151.0,143.0,294.0,"['DL', 'BA', 'Q6', 'JQ', 'JL', 'BR', 'FJ', 'HA', 'PR', 'PX', 'NF', 'TN', 'NZ', 'TK', 'TG', 'AA', 'VA', 'CI', 'AB', 'EK', 'CG', 'CZ', 'CX', 'EY', 'GA', 'AY', 'ET', 'IE', 'ON', 'KE', 'SQ', 'MH', 'US', 'MU', 'QF', 'SB', 'TT']",3320,Brisbane Intl,Brisbane,Australia,BNE,-27.384166999999998,153.1175,13
1056,3495.0,21.0,20.0,41.0,"['AA', 'DL', 'G4', 'FL', 'US', 'AS', 'WN', 'UA']",3495,Boise Air Terminal,Boise,United States,BOI,43.564361,-116.22286100000001,2871
1057,3612.0,2.0,2.0,4.0,"['AA', 'US']",3612,Southeast Texas Rgnl,Beaumont,United States,BPT,29.950833000000003,-94.02069399999999,15
1058,3738.0,3.0,3.0,6.0,"['AA', 'UA', 'US']",3738,Brownsville South Padre Island Intl,Brownsville,United States,BRO,25.906833,-97.425861,22
1059,3846.0,8.0,8.0,16.0,"['AA', 'DL', 'AF', 'US', 'KL', 'UA']",3846,Baton Rouge Metro Ryan Fld,Baton Rouge,United States,BTR,30.533167,-91.14963900000001,70
1060,3711.0,13.0,14.0,27.0,"['AA', 'DL', 'G4', 'AF', 'US', 'KL', 'B6', 'UA']",3711,Burlington Intl,Burlington,United States,BTV,44.471861,-73.153278,335
1061,3820.0,36.0,35.0,71.0,"['AA', 'DL', 'AF', 'UA', 'US', 'KL', 'B6', 'WN', 'AZ', 'FL']",3820,Buffalo Niagara Intl,Buffalo,United States,BUF,42.940525,-78.732167,724
