Airline,Name,Country,0,1,2,Number Countries,Favorite Airport ID,Favorite Airport Name,Favorite Airport City,Favorite Airport Country
E2,Kampuchea Airlines,Cambodia,12.0,0.0,0.0,5,1059.0,Freetown Lungi,Freetown,Sierra Leone
E5,Air Arabia Egypt,Egypt,4.0,6.0,0.0,4,3410.0,Borg El Arab Intl,Alexandria,Egypt
E7,Estafeta Carga Aerea,Mexico,4.0,0.0,0.0,2,886.0,Pointe Noire,Pointe-noire,Congo (Brazzaville)
E8,Alpi Eagles,Italy,2.0,4.0,0.0,2,3157.0,Don Muang Intl,Bangkok,Thailand
E9,Compagnie Africaine d\\'Aviation,Congo (Kinshasa),0.0,0.0,4.0,3,1229.0,Barajas,Madrid,Spain
EF,Far Eastern Air Transport,Taiwan,8.0,0.0,0.0,1,3380.0,Chinggis Khaan Intl,Ulan Bator,Mongolia
EG,Japan Asia Airways,Japan,1.0,4.0,4.0,3,7563.0,Kulob Airport,Kulyab,Tajikistan
EI,Aer Lingus,Ireland,134.0,70.0,22.0,25,599.0,Dublin,Dublin,Ireland
EK,Emirates,United Arab Emirates,34.0,69.0,186.0,74,2188.0,Dubai Intl,Dubai,United Arab Emirates
EL,Air Nippon,Japan,2.0,4.0,0.0,3,1486.0,Makedonia,Thessaloniki,Greece
EN,Air Dolomiti,Italy,12.0,0.0,0.0,2,346.0,Franz Josef Strauss,Munich,Germany
EO,Express One International,United States,10.0,2.0,0.0,3,1128.0,Cairo Intl,Cairo,Egypt
EP,Iran Aseman Airlines,Iran,159.0,8.0,2.0,10,2131.0,Mehrabad Intl,Teheran,Iran
EQ,TAME,Ecuador,40.0,2.0,2.0,7,2688.0,Mariscal Sucre Intl,Quito,Ecuador
ET,Ethiopian Airlines,Ethiopia,210.0,39.0,84.0,76,1107.0,Bole Intl,Addis Ababa,Ethiopia
EU,Empresa Ecuatoriana De Aviacion,Ecuador,66.0,12.0,0.0,1,3395.0,Shuangliu,Chengdu,China
EW,Eurowings,Germany,1.0,0.0,0.0,2,342.0,Hamburg,Hamburg,Germany
EY,Etihad Airways,United Arab Emirates,57.0,57.0,114.0,61,2179.0,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates
F2,Fly Air,Turkey,14.0,0.0,0.0,2,1147.0,Nairobi Wilson,Nairobi,Kenya
F5,Cosmic Air,Nepal,5.0,0.0,0.0,1,951.0,Luanda 4 De Fevereiro,Luanda,Angola
F7,Flybaboo,Switzerland,38.0,0.0,0.0,7,1665.0,Geneve Cointrin,Geneva,Switzerland
F9,Frontier Airlines,United States,126.0,88.0,8.0,5,3751.0,Denver Intl,Denver,United States
FB,Bulgaria Air,Bulgaria,30.0,26.0,0.0,17,1194.0,Sofia,Sofia,Bulgaria
FD,Thai AirAsia,Thailand,60.0,32.0,0.0,11,3157.0,Don Muang Intl,Bangkok,Thailand
FE,Primaris Airlines,United States,8.0,10.0,0.0,2,2276.0,Taoyuan Intl,Taipei,Taiwan
FG,Ariana Afghan Airlines,Afghanistan,13.0,8.0,1.0,8,2050.0,Kabul Intl,Kabul,Afghanistan
FI,Icelandair,Iceland,5.0,30.0,18.0,13,16.0,Keflavik International Airport,Keflavik,Iceland
FJ,Air Pacific,Fiji,40.0,10.0,16.0,11,1960.0,Nadi Intl,Nandi,Fiji
FL,AirTran Airways,United States,465.0,220.0,41.0,7,3747.0,Chicago Midway Intl,Chicago,United States
FM,Shanghai Airlines,China,153.0,34.0,4.0,7,3391.0,Hongqiao Intl,Shanghai,China
FO,Airlines Of Tasmania,Australia,28.0,6.0,0.0,5,3980.0,Sanaa Intl,Sanaa,Yemen
FR,Ryanair,Ireland,1346.0,1060.0,78.0,30,548.0,Stansted,London,United Kingdom
FS,Servicios de Transportes A,Argentina,10.0,6.0,1.0,4,1157.0,Tripoli Intl,Tripoli,Libya
FV,Rossiya-Russian Airlines,Russia,3.0,2.0,0.0,2,2948.0,Pulkovo,St. Petersburg,Russia
FW,Ibex Airlines,Japan,32.0,0.0,0.0,1,2347.0,Sendai,Sendai,Japan
FY,Firefly,Malaysia,40.0,0.0,0.0,4,3408.0,Subang-Sultan Abdul Aziz Shah Intl,Kuala Lumpur,Malaysia
FZ,Fly Dubai,United Arab Emirates,41.0,73.0,34.0,35,2188.0,Dubai Intl,Dubai,United Arab Emirates
G3,City Connexion Airlines,Burundi,242.0,76.0,14.0,10,2564.0,Guarulhos Gov Andre Franco Montouro,Sao Paulo,Brazil
G4,Allegiant Air,United States,175.0,197.0,4.0,1,4167.0,Orlando Sanford Intl,Sanford,United States
G5,Huaxia,China,92.0,0.0,0.0,1,3393.0,Jiangbei,Chongqing,China
G8,Go Air,India,71.0,6.0,0.0,1,3093.0,Indira Gandhi Intl,Delhi,India
G9,Air Arabia,United Arab Emirates,36.0,70.0,24.0,23,2191.0,Sharjah Intl,Sharjah,United Arab Emirates
GA,Garuda Indonesia,Indonesia,152.0,36.0,60.0,17,3275.0,Soekarno Hatta Intl,Jakarta,Indonesia
GE,TransAsia Airways,Taiwan,68.0,24.0,0.0,8,2276.0,Taoyuan Intl,Taipei,Taiwan
GF,Gulf Air Bahrain,Bahrain,32.0,28.0,17.0,25,2057.0,Bahrain Intl,Bahrain,Bahrain
GK,Genesis,Pakistan,26.0,2.0,0.0,1,2279.0,Narita Intl,Tokyo,Japan
GL,Air Greenland,Denmark,60.0,0.0,4.0,3,8.0,Nuuk,Godthaab,Greenland
GQ,Big Sky Airlines,United States,36.0,0.0,0.0,1,1452.0,Nikos Kazantzakis,Heraklion,Greece
GR,Aurigny Air Services,United Kingdom,20.0,0.0,0.0,4,498.0,Guernsey,Guernsey,Guernsey
GS,Air Foyle,United Kingdom,322.0,12.0,4.0,3,3368.0,Binhai,Tianjin,China
GV,Aero Flight,Germany,30.0,0.0,0.0,1,3794.0,King Salmon,King Salmon,United States
GY,Gabon Airlines,Gabon,0.0,2.0,0.0,2,2912.0,Manas,Bishkek,Kyrgyzstan
GZ,Air Rarotonga,Cook Islands,13.0,0.0,0.0,2,1959.0,Rarotonga Intl,Avarua,Cook Islands
H2,Sky Airline,Chile,47.0,2.0,0.0,4,2650.0,Arturo Merino Benitez Intl,Santiago,Chile
H7,Eagle Air,Uganda,2.0,0.0,0.0,1,1187.0,Entebbe Intl,Entebbe,Uganda
HA,Hawaiian Airlines,United States,21.0,0.0,53.0,9,3728.0,Honolulu Intl,Honolulu,United States
HD,Hokkaido International Airlines,Japan,26.0,0.0,0.0,1,2287.0,New Chitose,Sapporo,Japan
HF,Hapagfly,Germany,19.0,6.0,0.0,11,253.0,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire
HG,Niki,Austria,59.0,36.0,16.0,16,1613.0,Schwechat,Vienna,Austria
HI,Papillon Grand Canyon Helicopters,United States,2.0,0.0,0.0,1,6448.0,Grand Canyon West Airport,Grand Canyon West,United States
HK,Yangon Airways,Burma,2.0,0.0,4.0,3,345.0,Dusseldorf,Duesseldorf,Germany
HM,Air Seychelles,Seychelles,2.0,2.0,6.0,5,994.0,Seychelles Intl,Mahe,Seychelles
HN,Hankook Airline,South Korea,6.0,0.0,0.0,1,2050.0,Kabul Intl,Kabul,Afghanistan
HO,Juneyao Airlines,China,109.0,28.0,4.0,7,3406.0,Pudong,Shanghai,China
HQ,Harmony Airways,Canada,33.0,50.0,5.0,12,302.0,Brussels Natl,Brussels,Belgium
HR,China United Airlines,China,2.0,0.0,0.0,2,345.0,Dusseldorf,Duesseldorf,Germany
HU,Hainan Airlines,China,399.0,110.0,46.0,24,3364.0,Capital Intl,Beijing,China
